id,n_pedestrians,n_pedestrians_towards,n_pedestrians_away,Usage
kaiserstrasse_2025-02-03_0,29,9,20,Public
kaiserstrasse_2025-02-03_1,12,10,2,Public
kaiserstrasse_2025-02-03_2,4,3,1,Public
kaiserstrasse_2025-02-03_3,2,1,1,Public
kaiserstrasse_2025-02-03_4,13,3,10,Public
kaiserstrasse_2025-02-03_5,39,14,25,Public
kaiserstrasse_2025-02-03_6,174,88,86,Public
kaiserstrasse_2025-02-03_7,652,424,228,Public
kaiserstrasse_2025-02-03_8,725,436,289,Public
kaiserstrasse_2025-02-03_9,941,506,435,Public
kaiserstrasse_2025-02-03_10,1451,777,674,Public
kaiserstrasse_2025-02-03_11,1687,846,841,Public
kaiserstrasse_2025-02-03_12,2155,1010,1145,Public
kaiserstrasse_2025-02-03_13,2263,1038,1225,Public
kaiserstrasse_2025-02-03_14,1931,893,1038,Public
kaiserstrasse_2025-02-03_15,1874,853,1021,Public
kaiserstrasse_2025-02-03_16,1984,890,1094,Public
kaiserstrasse_2025-02-03_17,1849,808,1041,Public
kaiserstrasse_2025-02-03_18,1522,704,818,Public
kaiserstrasse_2025-02-03_19,960,487,473,Public
kaiserstrasse_2025-02-03_20,322,155,167,Public
kaiserstrasse_2025-02-03_21,157,68,89,Public
kaiserstrasse_2025-02-03_22,106,52,54,Public
kaiserstrasse_2025-02-03_23,53,30,23,Public
kaiserstrasse_2025-02-04_0,23,7,16,Public
kaiserstrasse_2025-02-04_1,13,5,8,Public
kaiserstrasse_2025-02-04_2,1,0,1,Public
kaiserstrasse_2025-02-04_3,6,1,5,Public
kaiserstrasse_2025-02-04_4,9,2,7,Public
kaiserstrasse_2025-02-04_5,47,22,25,Public
kaiserstrasse_2025-02-04_6,182,103,79,Public
kaiserstrasse_2025-02-04_7,606,414,192,Public
kaiserstrasse_2025-02-04_8,673,392,281,Public
kaiserstrasse_2025-02-04_9,853,473,380,Public
kaiserstrasse_2025-02-04_10,1252,626,626,Public
kaiserstrasse_2025-02-04_11,1533,751,782,Public
kaiserstrasse_2025-02-04_12,2067,1024,1043,Public
kaiserstrasse_2025-02-04_13,1975,913,1062,Public
kaiserstrasse_2025-02-04_14,1907,881,1026,Public
kaiserstrasse_2025-02-04_15,1866,812,1054,Public
kaiserstrasse_2025-02-04_16,2140,946,1194,Public
kaiserstrasse_2025-02-04_17,1944,896,1048,Public
kaiserstrasse_2025-02-04_18,1433,623,810,Public
kaiserstrasse_2025-02-04_19,846,418,428,Public
kaiserstrasse_2025-02-04_20,345,175,170,Public
kaiserstrasse_2025-02-04_21,242,108,134,Public
kaiserstrasse_2025-02-04_22,118,48,70,Public
kaiserstrasse_2025-02-04_23,73,27,46,Public
kaiserstrasse_2025-02-05_0,18,6,12,Public
kaiserstrasse_2025-02-05_1,17,9,8,Public
kaiserstrasse_2025-02-05_2,8,2,6,Public
kaiserstrasse_2025-02-05_3,20,1,19,Public
kaiserstrasse_2025-02-05_4,14,6,8,Public
kaiserstrasse_2025-02-05_5,47,21,26,Public
kaiserstrasse_2025-02-05_6,157,71,86,Public
kaiserstrasse_2025-02-05_7,611,413,198,Public
kaiserstrasse_2025-02-05_8,680,429,251,Public
kaiserstrasse_2025-02-05_9,914,486,428,Public
kaiserstrasse_2025-02-05_10,1240,637,603,Public
kaiserstrasse_2025-02-05_11,1405,727,678,Public
kaiserstrasse_2025-02-05_12,1826,860,966,Public
kaiserstrasse_2025-02-05_13,1978,938,1040,Public
kaiserstrasse_2025-02-05_14,1540,711,829,Public
kaiserstrasse_2025-02-05_15,1875,831,1044,Public
kaiserstrasse_2025-02-05_16,1969,907,1062,Public
kaiserstrasse_2025-02-05_17,1863,844,1019,Public
kaiserstrasse_2025-02-05_18,1332,626,706,Public
kaiserstrasse_2025-02-05_19,886,439,447,Public
kaiserstrasse_2025-02-05_20,385,182,203,Public
kaiserstrasse_2025-02-05_21,234,94,140,Public
kaiserstrasse_2025-02-05_22,157,61,96,Public
kaiserstrasse_2025-02-05_23,77,32,45,Public
kaiserstrasse_2025-02-06_0,29,8,21,Public
kaiserstrasse_2025-02-06_1,14,10,4,Public
kaiserstrasse_2025-02-06_2,17,11,6,Public
kaiserstrasse_2025-02-06_3,10,1,9,Public
kaiserstrasse_2025-02-06_4,14,3,11,Public
kaiserstrasse_2025-02-06_5,41,21,20,Public
kaiserstrasse_2025-02-06_6,224,116,108,Public
kaiserstrasse_2025-02-06_7,674,459,215,Public
kaiserstrasse_2025-02-06_8,688,395,293,Public
kaiserstrasse_2025-02-06_9,932,503,429,Public
kaiserstrasse_2025-02-06_10,1342,705,637,Public
kaiserstrasse_2025-02-06_11,1600,835,765,Public
kaiserstrasse_2025-02-06_12,1987,978,1009,Public
kaiserstrasse_2025-02-06_13,2136,1065,1071,Public
kaiserstrasse_2025-02-06_14,1776,837,939,Public
kaiserstrasse_2025-02-06_15,1941,883,1058,Public
kaiserstrasse_2025-02-06_16,2164,1010,1154,Public
kaiserstrasse_2025-02-06_17,2097,998,1099,Public
kaiserstrasse_2025-02-06_18,1343,621,722,Public
kaiserstrasse_2025-02-06_19,1044,484,560,Public
kaiserstrasse_2025-02-06_20,472,229,243,Public
kaiserstrasse_2025-02-06_21,298,148,150,Public
kaiserstrasse_2025-02-06_22,193,82,111,Public
kaiserstrasse_2025-02-06_23,93,36,57,Public
kaiserstrasse_2025-02-07_0,39,15,24,Public
kaiserstrasse_2025-02-07_1,20,15,5,Public
kaiserstrasse_2025-02-07_2,12,1,11,Public
kaiserstrasse_2025-02-07_3,4,1,3,Public
kaiserstrasse_2025-02-07_4,12,5,7,Public
kaiserstrasse_2025-02-07_5,43,19,24,Public
kaiserstrasse_2025-02-07_6,138,64,74,Public
kaiserstrasse_2025-02-07_7,560,385,175,Public
kaiserstrasse_2025-02-07_8,670,397,273,Public
kaiserstrasse_2025-02-07_9,868,452,416,Public
kaiserstrasse_2025-02-07_10,1265,637,628,Public
kaiserstrasse_2025-02-07_11,1619,787,832,Public
kaiserstrasse_2025-02-07_12,2016,927,1089,Public
kaiserstrasse_2025-02-07_13,2190,1002,1188,Public
kaiserstrasse_2025-02-07_14,2082,1016,1066,Public
kaiserstrasse_2025-02-07_15,2103,1025,1078,Public
kaiserstrasse_2025-02-07_16,2359,1094,1265,Public
kaiserstrasse_2025-02-07_17,2231,1037,1194,Public
kaiserstrasse_2025-02-07_18,1789,836,953,Public
kaiserstrasse_2025-02-07_19,1456,724,732,Public
kaiserstrasse_2025-02-07_20,729,338,391,Public
kaiserstrasse_2025-02-07_21,444,249,195,Public
kaiserstrasse_2025-02-07_22,316,132,184,Public
kaiserstrasse_2025-02-07_23,185,59,126,Public
kaiserstrasse_2025-02-08_0,152,62,90,Public
kaiserstrasse_2025-02-08_1,81,41,40,Public
kaiserstrasse_2025-02-08_2,44,19,25,Public
kaiserstrasse_2025-02-08_3,34,15,19,Public
kaiserstrasse_2025-02-08_4,46,7,39,Public
kaiserstrasse_2025-02-08_5,35,12,23,Public
kaiserstrasse_2025-02-08_6,37,14,23,Public
kaiserstrasse_2025-02-08_7,120,55,65,Public
kaiserstrasse_2025-02-08_8,300,146,154,Public
kaiserstrasse_2025-02-08_9,599,303,296,Public
kaiserstrasse_2025-02-08_10,1292,714,578,Public
kaiserstrasse_2025-02-08_11,1687,966,721,Public
kaiserstrasse_2025-02-08_12,2276,1271,1005,Public
kaiserstrasse_2025-02-08_13,2597,1360,1237,Public
kaiserstrasse_2025-02-08_14,3064,1647,1417,Public
kaiserstrasse_2025-02-08_15,3267,1500,1767,Public
kaiserstrasse_2025-02-08_16,3217,1442,1775,Public
kaiserstrasse_2025-02-08_17,3156,1432,1724,Public
kaiserstrasse_2025-02-08_18,2267,1051,1216,Public
kaiserstrasse_2025-02-08_19,1468,695,773,Public
kaiserstrasse_2025-02-08_20,723,339,384,Public
kaiserstrasse_2025-02-08_21,474,253,221,Public
kaiserstrasse_2025-02-08_22,349,159,190,Public
kaiserstrasse_2025-02-08_23,257,98,159,Public
kaiserstrasse_2025-02-09_0,150,55,95,Public
kaiserstrasse_2025-02-09_1,114,52,62,Public
kaiserstrasse_2025-02-09_2,50,32,18,Public
kaiserstrasse_2025-02-09_3,74,38,36,Public
kaiserstrasse_2025-02-09_4,42,28,14,Public
kaiserstrasse_2025-02-09_5,43,10,33,Public
kaiserstrasse_2025-02-09_6,27,8,19,Public
kaiserstrasse_2025-02-09_7,30,19,11,Public
kaiserstrasse_2025-02-09_8,117,51,66,Public
kaiserstrasse_2025-02-09_9,196,100,96,Public
kaiserstrasse_2025-02-09_10,305,147,158,Public
kaiserstrasse_2025-02-09_11,468,227,241,Public
kaiserstrasse_2025-02-09_12,476,267,209,Public
kaiserstrasse_2025-02-09_13,669,331,338,Public
kaiserstrasse_2025-02-09_14,665,333,332,Public
kaiserstrasse_2025-02-09_15,909,451,458,Public
kaiserstrasse_2025-02-09_16,736,329,407,Public
kaiserstrasse_2025-02-09_17,714,286,428,Public
kaiserstrasse_2025-02-09_18,643,310,333,Public
kaiserstrasse_2025-02-09_19,544,276,268,Public
kaiserstrasse_2025-02-09_20,345,197,148,Public
kaiserstrasse_2025-02-09_21,224,119,105,Public
kaiserstrasse_2025-02-09_22,195,131,64,Public
kaiserstrasse_2025-02-09_23,60,32,28,Public
schoenbornstrasse_2025-02-03_0,16,9,7,Public
schoenbornstrasse_2025-02-03_1,9,3,6,Public
schoenbornstrasse_2025-02-03_2,3,3,0,Public
schoenbornstrasse_2025-02-03_3,0,0,0,Public
schoenbornstrasse_2025-02-03_4,8,3,5,Public
schoenbornstrasse_2025-02-03_5,22,9,13,Public
schoenbornstrasse_2025-02-03_6,56,27,29,Public
schoenbornstrasse_2025-02-03_7,334,189,145,Public
schoenbornstrasse_2025-02-03_8,383,181,202,Public
schoenbornstrasse_2025-02-03_9,1042,517,525,Public
schoenbornstrasse_2025-02-03_10,1496,734,762,Public
schoenbornstrasse_2025-02-03_11,1953,958,995,Public
schoenbornstrasse_2025-02-03_12,2321,1186,1135,Public
schoenbornstrasse_2025-02-03_13,2404,1135,1269,Public
schoenbornstrasse_2025-02-03_14,2156,1090,1066,Public
schoenbornstrasse_2025-02-03_15,2079,1028,1051,Public
schoenbornstrasse_2025-02-03_16,2353,1107,1246,Public
schoenbornstrasse_2025-02-03_17,1993,986,1007,Public
schoenbornstrasse_2025-02-03_18,1302,626,676,Public
schoenbornstrasse_2025-02-03_19,720,372,348,Public
schoenbornstrasse_2025-02-03_20,246,115,131,Public
schoenbornstrasse_2025-02-03_21,148,87,61,Public
schoenbornstrasse_2025-02-03_22,100,37,63,Public
schoenbornstrasse_2025-02-03_23,41,15,26,Public
schoenbornstrasse_2025-02-04_0,10,2,8,Public
schoenbornstrasse_2025-02-04_1,17,6,11,Public
schoenbornstrasse_2025-02-04_2,5,4,1,Public
schoenbornstrasse_2025-02-04_3,2,1,1,Public
schoenbornstrasse_2025-02-04_4,6,1,5,Public
schoenbornstrasse_2025-02-04_5,22,13,9,Public
schoenbornstrasse_2025-02-04_6,82,37,45,Public
schoenbornstrasse_2025-02-04_7,335,194,141,Public
schoenbornstrasse_2025-02-04_8,404,194,210,Public
schoenbornstrasse_2025-02-04_9,855,393,462,Public
schoenbornstrasse_2025-02-04_10,1364,665,699,Public
schoenbornstrasse_2025-02-04_11,1878,901,977,Public
schoenbornstrasse_2025-02-04_12,2220,1128,1092,Public
schoenbornstrasse_2025-02-04_13,2376,1097,1279,Public
schoenbornstrasse_2025-02-04_14,2169,1025,1144,Public
schoenbornstrasse_2025-02-04_15,2346,1115,1231,Public
schoenbornstrasse_2025-02-04_16,2267,1060,1207,Public
schoenbornstrasse_2025-02-04_17,1948,920,1028,Public
schoenbornstrasse_2025-02-04_18,1394,655,739,Public
schoenbornstrasse_2025-02-04_19,709,306,403,Public
schoenbornstrasse_2025-02-04_20,242,145,97,Public
schoenbornstrasse_2025-02-04_21,189,110,79,Public
schoenbornstrasse_2025-02-04_22,78,35,43,Public
schoenbornstrasse_2025-02-04_23,62,32,30,Public
schoenbornstrasse_2025-02-05_0,28,14,14,Public
schoenbornstrasse_2025-02-05_1,8,2,6,Public
schoenbornstrasse_2025-02-05_2,9,1,8,Public
schoenbornstrasse_2025-02-05_3,6,0,6,Public
schoenbornstrasse_2025-02-05_4,7,2,5,Public
schoenbornstrasse_2025-02-05_5,27,12,15,Public
schoenbornstrasse_2025-02-05_6,67,31,36,Public
schoenbornstrasse_2025-02-05_7,282,156,126,Public
schoenbornstrasse_2025-02-05_8,448,228,220,Public
schoenbornstrasse_2025-02-05_9,829,366,463,Public
schoenbornstrasse_2025-02-05_10,1369,724,645,Public
schoenbornstrasse_2025-02-05_11,1748,864,884,Public
schoenbornstrasse_2025-02-05_12,2068,1024,1044,Public
schoenbornstrasse_2025-02-05_13,2179,1065,1114,Public
schoenbornstrasse_2025-02-05_14,2054,1032,1022,Public
schoenbornstrasse_2025-02-05_15,2166,1033,1133,Public
schoenbornstrasse_2025-02-05_16,2303,1071,1232,Public
schoenbornstrasse_2025-02-05_17,1974,944,1030,Public
schoenbornstrasse_2025-02-05_18,1460,659,801,Public
schoenbornstrasse_2025-02-05_19,823,413,410,Public
schoenbornstrasse_2025-02-05_20,310,170,140,Public
schoenbornstrasse_2025-02-05_21,205,104,101,Public
schoenbornstrasse_2025-02-05_22,172,102,70,Public
schoenbornstrasse_2025-02-05_23,68,33,35,Public
schoenbornstrasse_2025-02-06_0,34,14,20,Public
schoenbornstrasse_2025-02-06_1,20,8,12,Public
schoenbornstrasse_2025-02-06_2,8,3,5,Public
schoenbornstrasse_2025-02-06_3,15,3,12,Public
schoenbornstrasse_2025-02-06_4,13,9,4,Public
schoenbornstrasse_2025-02-06_5,23,7,16,Public
schoenbornstrasse_2025-02-06_6,84,40,44,Public
schoenbornstrasse_2025-02-06_7,317,186,131,Public
schoenbornstrasse_2025-02-06_8,410,188,222,Public
schoenbornstrasse_2025-02-06_9,853,410,443,Public
schoenbornstrasse_2025-02-06_10,1306,654,652,Public
schoenbornstrasse_2025-02-06_11,1733,919,814,Public
schoenbornstrasse_2025-02-06_12,2135,1028,1107,Public
schoenbornstrasse_2025-02-06_13,2535,1226,1309,Public
schoenbornstrasse_2025-02-06_14,2252,1083,1169,Public
schoenbornstrasse_2025-02-06_15,2388,1134,1254,Public
schoenbornstrasse_2025-02-06_16,2460,1191,1269,Public
schoenbornstrasse_2025-02-06_17,2310,1113,1197,Public
schoenbornstrasse_2025-02-06_18,1537,788,749,Public
schoenbornstrasse_2025-02-06_19,853,423,430,Public
schoenbornstrasse_2025-02-06_20,341,179,162,Public
schoenbornstrasse_2025-02-06_21,253,124,129,Public
schoenbornstrasse_2025-02-06_22,133,73,60,Public
schoenbornstrasse_2025-02-06_23,94,36,58,Public
schoenbornstrasse_2025-02-07_0,33,14,19,Public
schoenbornstrasse_2025-02-07_1,26,7,19,Public
schoenbornstrasse_2025-02-07_2,6,0,6,Public
schoenbornstrasse_2025-02-07_3,8,1,7,Public
schoenbornstrasse_2025-02-07_4,9,3,6,Public
schoenbornstrasse_2025-02-07_5,30,16,14,Public
schoenbornstrasse_2025-02-07_6,55,26,29,Public
schoenbornstrasse_2025-02-07_7,298,180,118,Public
schoenbornstrasse_2025-02-07_8,469,234,235,Public
schoenbornstrasse_2025-02-07_9,1008,500,508,Public
schoenbornstrasse_2025-02-07_10,1601,826,775,Public
schoenbornstrasse_2025-02-07_11,2112,1040,1072,Public
schoenbornstrasse_2025-02-07_12,2406,1228,1178,Public
schoenbornstrasse_2025-02-07_13,2973,1409,1564,Public
schoenbornstrasse_2025-02-07_14,2865,1467,1398,Public
schoenbornstrasse_2025-02-07_15,2907,1420,1487,Public
schoenbornstrasse_2025-02-07_16,3397,1588,1809,Public
schoenbornstrasse_2025-02-07_17,3004,1402,1602,Public
schoenbornstrasse_2025-02-07_18,2258,1150,1108,Public
schoenbornstrasse_2025-02-07_19,1592,789,803,Public
schoenbornstrasse_2025-02-07_20,655,314,341,Public
schoenbornstrasse_2025-02-07_21,352,206,146,Public
schoenbornstrasse_2025-02-07_22,351,200,151,Public
schoenbornstrasse_2025-02-07_23,217,140,77,Public
schoenbornstrasse_2025-02-08_0,99,41,58,Public
schoenbornstrasse_2025-02-08_1,64,20,44,Public
schoenbornstrasse_2025-02-08_2,76,22,54,Public
schoenbornstrasse_2025-02-08_3,34,11,23,Public
schoenbornstrasse_2025-02-08_4,59,6,53,Public
schoenbornstrasse_2025-02-08_5,31,13,18,Public
schoenbornstrasse_2025-02-08_6,24,12,12,Public
schoenbornstrasse_2025-02-08_7,47,28,19,Public
schoenbornstrasse_2025-02-08_8,198,94,104,Public
schoenbornstrasse_2025-02-08_9,678,303,375,Public
schoenbornstrasse_2025-02-08_10,1714,882,832,Public
schoenbornstrasse_2025-02-08_11,3201,1633,1568,Public
schoenbornstrasse_2025-02-08_12,4138,2150,1988,Public
schoenbornstrasse_2025-02-08_13,4947,2544,2403,Public
schoenbornstrasse_2025-02-08_14,5693,2991,2702,Public
schoenbornstrasse_2025-02-08_15,6934,3062,3872,Public
schoenbornstrasse_2025-02-08_16,5943,2786,3157,Public
schoenbornstrasse_2025-02-08_17,4642,2159,2483,Public
schoenbornstrasse_2025-02-08_18,3137,1565,1572,Public
schoenbornstrasse_2025-02-08_19,1897,959,938,Public
schoenbornstrasse_2025-02-08_20,679,339,340,Public
schoenbornstrasse_2025-02-08_21,453,244,209,Public
schoenbornstrasse_2025-02-08_22,299,155,144,Public
schoenbornstrasse_2025-02-08_23,163,89,74,Public
schoenbornstrasse_2025-02-09_0,179,96,83,Public
schoenbornstrasse_2025-02-09_1,133,62,71,Public
schoenbornstrasse_2025-02-09_2,76,37,39,Public
schoenbornstrasse_2025-02-09_3,71,46,25,Public
schoenbornstrasse_2025-02-09_4,23,9,14,Public
schoenbornstrasse_2025-02-09_5,26,7,19,Public
schoenbornstrasse_2025-02-09_6,23,9,14,Public
schoenbornstrasse_2025-02-09_7,26,14,12,Public
schoenbornstrasse_2025-02-09_8,52,19,33,Public
schoenbornstrasse_2025-02-09_9,200,110,90,Public
schoenbornstrasse_2025-02-09_10,238,108,130,Public
schoenbornstrasse_2025-02-09_11,499,277,222,Public
schoenbornstrasse_2025-02-09_12,571,274,297,Public
schoenbornstrasse_2025-02-09_13,619,325,294,Public
schoenbornstrasse_2025-02-09_14,718,381,337,Public
schoenbornstrasse_2025-02-09_15,884,414,470,Public
schoenbornstrasse_2025-02-09_16,837,366,471,Public
schoenbornstrasse_2025-02-09_17,645,289,356,Public
schoenbornstrasse_2025-02-09_18,556,245,311,Public
schoenbornstrasse_2025-02-09_19,317,127,190,Public
schoenbornstrasse_2025-02-09_20,223,112,111,Public
schoenbornstrasse_2025-02-09_21,132,67,65,Public
schoenbornstrasse_2025-02-09_22,97,58,39,Public
