id,n_pedestrians,n_pedestrians_towards,n_pedestrians_away,Usage
schoenbornstrasse_2025-02-10_8,487,250,237,Private
schoenbornstrasse_2025-02-10_9,964,479,485,Private
schoenbornstrasse_2025-02-10_10,1571,775,796,Private
schoenbornstrasse_2025-02-10_11,2121,1040,1081,Private
schoenbornstrasse_2025-02-10_12,2420,1202,1218,Private
schoenbornstrasse_2025-02-10_13,2628,1292,1336,Private
schoenbornstrasse_2025-02-10_14,2438,1213,1225,Private
schoenbornstrasse_2025-02-10_15,2444,1161,1283,Private
schoenbornstrasse_2025-02-10_16,2573,1248,1325,Private
schoenbornstrasse_2025-02-10_17,2205,1091,1114,Private
schoenbornstrasse_2025-02-10_18,1469,714,755,Private
schoenbornstrasse_2025-02-10_19,721,365,356,Private
schoenbornstrasse_2025-02-10_20,281,140,141,Private
schoenbornstrasse_2025-02-10_21,170,94,76,Private
schoenbornstrasse_2025-02-10_22,79,34,45,Private
schoenbornstrasse_2025-02-10_23,51,21,30,Private
schoenbornstrasse_2025-02-11_0,53,14,39,Private
schoenbornstrasse_2025-02-11_1,12,4,8,Private
schoenbornstrasse_2025-02-11_2,6,4,2,Private
schoenbornstrasse_2025-02-11_3,10,6,4,Private
schoenbornstrasse_2025-02-11_4,14,7,7,Private
schoenbornstrasse_2025-02-11_5,21,8,13,Private
schoenbornstrasse_2025-02-11_6,79,37,42,Private
schoenbornstrasse_2025-02-11_7,339,211,128,Private
schoenbornstrasse_2025-02-11_8,444,214,230,Private
schoenbornstrasse_2025-02-11_9,867,406,461,Private
schoenbornstrasse_2025-02-11_10,1571,768,803,Private
schoenbornstrasse_2025-02-11_11,1848,893,955,Private
schoenbornstrasse_2025-02-11_12,2302,1163,1139,Private
schoenbornstrasse_2025-02-11_13,2583,1226,1357,Private
schoenbornstrasse_2025-02-11_14,2295,1149,1146,Private
schoenbornstrasse_2025-02-11_15,2332,1152,1180,Private
schoenbornstrasse_2025-02-11_16,2494,1200,1294,Private
schoenbornstrasse_2025-02-11_17,2142,1044,1098,Private
schoenbornstrasse_2025-02-11_18,1418,699,719,Private
schoenbornstrasse_2025-02-11_19,789,358,431,Private
schoenbornstrasse_2025-02-11_20,366,186,180,Private
schoenbornstrasse_2025-02-11_21,173,86,87,Private
schoenbornstrasse_2025-02-11_22,108,47,61,Private
schoenbornstrasse_2025-02-11_23,47,15,32,Private
schoenbornstrasse_2025-02-12_0,44,13,31,Private
schoenbornstrasse_2025-02-12_1,25,7,18,Private
schoenbornstrasse_2025-02-12_2,7,2,5,Private
schoenbornstrasse_2025-02-12_3,7,3,4,Private
schoenbornstrasse_2025-02-12_4,15,2,13,Private
schoenbornstrasse_2025-02-12_5,52,14,38,Private
schoenbornstrasse_2025-02-12_6,173,105,68,Private
schoenbornstrasse_2025-02-12_7,726,542,184,Private
schoenbornstrasse_2025-02-12_8,416,212,204,Private
schoenbornstrasse_2025-02-12_9,580,308,272,Private
schoenbornstrasse_2025-02-12_10,828,440,388,Private
schoenbornstrasse_2025-02-12_11,1109,590,519,Private
schoenbornstrasse_2025-02-12_12,1310,622,688,Private
schoenbornstrasse_2025-02-12_13,1627,745,882,Private
schoenbornstrasse_2025-02-12_14,1757,872,885,Private
schoenbornstrasse_2025-02-12_15,1912,888,1024,Private
schoenbornstrasse_2025-02-12_16,2328,1115,1213,Private
schoenbornstrasse_2025-02-12_17,1933,939,994,Private
schoenbornstrasse_2025-02-12_18,1339,658,681,Private
schoenbornstrasse_2025-02-12_19,743,360,383,Private
schoenbornstrasse_2025-02-12_20,316,184,132,Private
schoenbornstrasse_2025-02-12_21,226,126,100,Private
schoenbornstrasse_2025-02-12_22,146,65,81,Private
schoenbornstrasse_2025-02-12_23,60,32,28,Private
schoenbornstrasse_2025-02-13_0,69,24,45,Private
schoenbornstrasse_2025-02-13_1,21,15,6,Private
schoenbornstrasse_2025-02-13_2,18,8,10,Private
schoenbornstrasse_2025-02-13_3,19,9,10,Private
schoenbornstrasse_2025-02-13_4,7,4,3,Private
schoenbornstrasse_2025-02-13_5,18,9,9,Private
schoenbornstrasse_2025-02-13_6,93,49,44,Private
schoenbornstrasse_2025-02-13_7,343,206,137,Private
schoenbornstrasse_2025-02-13_8,448,207,241,Private
schoenbornstrasse_2025-02-13_9,912,389,523,Private
schoenbornstrasse_2025-02-13_10,1656,851,805,Private
schoenbornstrasse_2025-02-13_11,2094,1036,1058,Private
schoenbornstrasse_2025-02-13_12,2264,1129,1135,Private
schoenbornstrasse_2025-02-13_13,2252,1063,1189,Private
schoenbornstrasse_2025-02-13_14,2312,1154,1158,Private
schoenbornstrasse_2025-02-13_15,2636,1263,1373,Private
schoenbornstrasse_2025-02-13_16,2590,1221,1369,Private
schoenbornstrasse_2025-02-13_17,2171,1066,1105,Private
schoenbornstrasse_2025-02-13_18,1528,766,762,Private
schoenbornstrasse_2025-02-13_19,958,458,500,Private
schoenbornstrasse_2025-02-13_20,314,145,169,Private
schoenbornstrasse_2025-02-13_21,175,76,99,Private
schoenbornstrasse_2025-02-13_22,107,63,44,Private
schoenbornstrasse_2025-02-13_23,58,20,38,Private
schoenbornstrasse_2025-02-14_0,50,25,25,Private
schoenbornstrasse_2025-02-14_1,31,22,9,Private
schoenbornstrasse_2025-02-14_2,7,1,6,Private
schoenbornstrasse_2025-02-14_3,22,8,14,Private
schoenbornstrasse_2025-02-14_4,15,3,12,Private
schoenbornstrasse_2025-02-14_5,28,14,14,Private
schoenbornstrasse_2025-02-14_6,72,30,42,Private
schoenbornstrasse_2025-02-14_7,291,170,121,Private
schoenbornstrasse_2025-02-14_8,414,202,212,Private
schoenbornstrasse_2025-02-14_9,880,411,469,Private
schoenbornstrasse_2025-02-14_10,1679,822,857,Private
schoenbornstrasse_2025-02-14_11,2093,1085,1008,Private
schoenbornstrasse_2025-02-14_12,2399,1155,1244,Private
schoenbornstrasse_2025-02-14_13,2914,1406,1508,Private
schoenbornstrasse_2025-02-14_14,3050,1474,1576,Private
schoenbornstrasse_2025-02-14_15,3026,1508,1518,Private
schoenbornstrasse_2025-02-14_16,3681,1710,1971,Private
schoenbornstrasse_2025-02-14_17,3276,1589,1687,Private
schoenbornstrasse_2025-02-14_18,2600,1254,1346,Private
schoenbornstrasse_2025-02-14_19,1808,914,894,Private
schoenbornstrasse_2025-02-14_20,774,398,376,Private
schoenbornstrasse_2025-02-14_21,390,216,174,Private
schoenbornstrasse_2025-02-14_22,280,123,157,Private
schoenbornstrasse_2025-02-14_23,181,95,86,Private
schoenbornstrasse_2025-02-15_0,135,60,75,Private
schoenbornstrasse_2025-02-15_1,80,28,52,Private
schoenbornstrasse_2025-02-15_2,47,16,31,Private
schoenbornstrasse_2025-02-15_3,38,8,30,Private
schoenbornstrasse_2025-02-15_4,42,8,34,Private
schoenbornstrasse_2025-02-15_5,12,7,5,Private
schoenbornstrasse_2025-02-15_6,20,11,9,Private
schoenbornstrasse_2025-02-15_7,58,26,32,Private
schoenbornstrasse_2025-02-15_8,175,84,91,Private
schoenbornstrasse_2025-02-15_9,634,299,335,Private
schoenbornstrasse_2025-02-15_10,1607,800,807,Private
schoenbornstrasse_2025-02-15_11,2854,1514,1340,Private
schoenbornstrasse_2025-02-15_12,4181,1948,2233,Private
schoenbornstrasse_2025-02-15_13,4445,2204,2241,Private
schoenbornstrasse_2025-02-15_14,5129,2672,2457,Private
schoenbornstrasse_2025-02-15_15,5393,2856,2537,Private
schoenbornstrasse_2025-02-15_16,4910,2222,2688,Private
schoenbornstrasse_2025-02-15_17,3734,1789,1945,Private
schoenbornstrasse_2025-02-15_18,2721,1288,1433,Private
schoenbornstrasse_2025-02-15_19,1560,758,802,Private
schoenbornstrasse_2025-02-15_20,652,354,298,Private
schoenbornstrasse_2025-02-15_21,453,240,213,Private
schoenbornstrasse_2025-02-15_22,299,146,153,Private
schoenbornstrasse_2025-02-15_23,290,138,152,Private
schoenbornstrasse_2025-02-16_0,185,108,77,Private
schoenbornstrasse_2025-02-16_1,86,32,54,Private
schoenbornstrasse_2025-02-16_2,63,33,30,Private
schoenbornstrasse_2025-02-16_3,27,8,19,Private
schoenbornstrasse_2025-02-16_4,29,11,18,Private
schoenbornstrasse_2025-02-16_5,33,6,27,Private
schoenbornstrasse_2025-02-16_6,30,18,12,Private
schoenbornstrasse_2025-02-16_7,34,13,21,Private
schoenbornstrasse_2025-02-16_8,52,30,22,Private
schoenbornstrasse_2025-02-16_9,178,76,102,Private
schoenbornstrasse_2025-02-16_10,261,131,130,Private
schoenbornstrasse_2025-02-16_11,483,252,231,Private
schoenbornstrasse_2025-02-16_12,435,194,241,Private
schoenbornstrasse_2025-02-16_13,526,255,271,Private
schoenbornstrasse_2025-02-16_14,762,371,391,Private
schoenbornstrasse_2025-02-16_15,850,387,463,Private
schoenbornstrasse_2025-02-16_16,719,319,400,Private
schoenbornstrasse_2025-02-16_17,735,376,359,Private
schoenbornstrasse_2025-02-16_18,463,202,261,Private
schoenbornstrasse_2025-02-16_19,366,157,209,Private
schoenbornstrasse_2025-02-16_20,234,127,107,Private
schoenbornstrasse_2025-02-16_21,137,66,71,Private
schoenbornstrasse_2025-02-16_22,101,71,30,Private
schoenbornstrasse_2025-02-16_23,67,42,25,Private
spiegelstrasse_2025-02-10_0,21,15,6,Private
spiegelstrasse_2025-02-10_1,17,14,3,Private
spiegelstrasse_2025-02-10_2,6,4,2,Private
spiegelstrasse_2025-02-10_3,3,2,1,Private
spiegelstrasse_2025-02-10_4,15,6,9,Private
spiegelstrasse_2025-02-10_5,72,53,19,Private
spiegelstrasse_2025-02-10_6,176,114,62,Private
spiegelstrasse_2025-02-10_7,417,235,182,Private
spiegelstrasse_2025-02-10_8,516,328,188,Private
spiegelstrasse_2025-02-10_9,733,459,274,Private
spiegelstrasse_2025-02-10_10,1072,673,399,Private
spiegelstrasse_2025-02-10_11,1218,706,512,Private
spiegelstrasse_2025-02-10_12,1313,736,577,Private
spiegelstrasse_2025-02-10_13,1414,789,625,Private
spiegelstrasse_2025-02-10_14,1173,636,537,Private
spiegelstrasse_2025-02-10_15,1246,671,575,Private
spiegelstrasse_2025-02-10_16,1309,739,570,Private
spiegelstrasse_2025-02-10_17,1168,634,534,Private
spiegelstrasse_2025-02-10_18,784,389,395,Private
spiegelstrasse_2025-02-10_19,585,325,260,Private
spiegelstrasse_2025-02-10_20,305,160,145,Private
spiegelstrasse_2025-02-10_21,191,97,94,Private
spiegelstrasse_2025-02-10_22,116,57,59,Private
spiegelstrasse_2025-02-10_23,36,21,15,Private
spiegelstrasse_2025-02-11_0,26,15,11,Private
spiegelstrasse_2025-02-11_1,15,10,5,Private
spiegelstrasse_2025-02-11_2,15,5,10,Private
spiegelstrasse_2025-02-11_3,8,2,6,Private
spiegelstrasse_2025-02-11_4,3,0,3,Private
spiegelstrasse_2025-02-11_5,85,51,34,Private
spiegelstrasse_2025-02-11_6,176,115,61,Private
spiegelstrasse_2025-02-11_7,472,275,197,Private
spiegelstrasse_2025-02-11_8,601,397,204,Private
spiegelstrasse_2025-02-11_9,809,478,331,Private
spiegelstrasse_2025-02-11_10,901,554,347,Private
spiegelstrasse_2025-02-11_11,1104,643,461,Private
spiegelstrasse_2025-02-11_12,1382,758,624,Private
spiegelstrasse_2025-02-11_13,1395,777,618,Private
spiegelstrasse_2025-02-11_14,1253,685,568,Private
spiegelstrasse_2025-02-11_15,1259,711,548,Private
spiegelstrasse_2025-02-11_16,1280,733,547,Private
spiegelstrasse_2025-02-11_17,1274,678,596,Private
spiegelstrasse_2025-02-11_18,886,447,439,Private
spiegelstrasse_2025-02-11_19,579,308,271,Private
spiegelstrasse_2025-02-11_20,294,163,131,Private
spiegelstrasse_2025-02-11_21,207,114,93,Private
spiegelstrasse_2025-02-11_22,117,74,43,Private
spiegelstrasse_2025-02-11_23,72,34,38,Private
spiegelstrasse_2025-02-12_0,21,9,12,Private
spiegelstrasse_2025-02-12_1,22,16,6,Private
spiegelstrasse_2025-02-12_2,14,2,12,Private
spiegelstrasse_2025-02-12_3,15,10,5,Private
spiegelstrasse_2025-02-12_4,14,5,9,Private
spiegelstrasse_2025-02-12_5,32,20,12,Private
spiegelstrasse_2025-02-12_6,133,82,51,Private
spiegelstrasse_2025-02-12_7,350,185,165,Private
spiegelstrasse_2025-02-12_8,404,250,154,Private
spiegelstrasse_2025-02-12_9,490,315,175,Private
spiegelstrasse_2025-02-12_10,518,301,217,Private
spiegelstrasse_2025-02-12_11,556,317,239,Private
spiegelstrasse_2025-02-12_12,781,411,370,Private
spiegelstrasse_2025-02-12_13,875,492,383,Private
spiegelstrasse_2025-02-12_14,974,531,443,Private
spiegelstrasse_2025-02-12_15,935,546,389,Private
spiegelstrasse_2025-02-12_16,1110,653,457,Private
spiegelstrasse_2025-02-12_17,957,532,425,Private
spiegelstrasse_2025-02-12_18,641,337,304,Private
spiegelstrasse_2025-02-12_19,394,209,185,Private
spiegelstrasse_2025-02-12_20,266,135,131,Private
spiegelstrasse_2025-02-12_21,177,84,93,Private
spiegelstrasse_2025-02-12_22,101,32,69,Private
spiegelstrasse_2025-02-12_23,49,27,22,Private
spiegelstrasse_2025-02-13_0,32,10,22,Private
spiegelstrasse_2025-02-13_1,7,4,3,Private
spiegelstrasse_2025-02-13_2,21,8,13,Private
spiegelstrasse_2025-02-13_3,7,4,3,Private
spiegelstrasse_2025-02-13_4,8,4,4,Private
spiegelstrasse_2025-02-13_5,61,38,23,Private
spiegelstrasse_2025-02-13_6,179,115,64,Private
spiegelstrasse_2025-02-13_7,383,221,162,Private
spiegelstrasse_2025-02-13_8,607,412,195,Private
spiegelstrasse_2025-02-13_9,859,520,339,Private
spiegelstrasse_2025-02-13_10,929,579,350,Private
spiegelstrasse_2025-02-13_11,1205,716,489,Private
spiegelstrasse_2025-02-13_12,1287,730,557,Private
spiegelstrasse_2025-02-13_13,1280,703,577,Private
spiegelstrasse_2025-02-13_14,1250,712,538,Private
spiegelstrasse_2025-02-13_15,1305,718,587,Private
spiegelstrasse_2025-02-13_16,1390,799,591,Private
spiegelstrasse_2025-02-13_17,1119,585,534,Private
spiegelstrasse_2025-02-13_18,787,357,430,Private
spiegelstrasse_2025-02-13_19,477,240,237,Private
spiegelstrasse_2025-02-13_20,304,165,139,Private
spiegelstrasse_2025-02-13_21,186,92,94,Private
spiegelstrasse_2025-02-13_22,129,72,57,Private
spiegelstrasse_2025-02-13_23,86,52,34,Private
spiegelstrasse_2025-02-14_0,39,18,21,Private
spiegelstrasse_2025-02-14_1,9,8,1,Private
spiegelstrasse_2025-02-14_2,8,3,5,Private
spiegelstrasse_2025-02-14_3,13,6,7,Private
spiegelstrasse_2025-02-14_4,13,8,5,Private
spiegelstrasse_2025-02-14_5,68,41,27,Private
spiegelstrasse_2025-02-14_6,155,113,42,Private
spiegelstrasse_2025-02-14_7,392,243,149,Private
spiegelstrasse_2025-02-14_8,528,347,181,Private
spiegelstrasse_2025-02-14_9,806,504,302,Private
spiegelstrasse_2025-02-14_10,984,583,401,Private
spiegelstrasse_2025-02-14_11,1233,708,525,Private
spiegelstrasse_2025-02-14_12,1535,859,676,Private
spiegelstrasse_2025-02-14_13,1553,910,643,Private
spiegelstrasse_2025-02-14_14,1452,780,672,Private
spiegelstrasse_2025-02-14_15,1380,786,594,Private
spiegelstrasse_2025-02-14_16,2608,1972,636,Private
spiegelstrasse_2025-02-14_17,1403,732,671,Private
spiegelstrasse_2025-02-14_18,1136,581,555,Private
spiegelstrasse_2025-02-14_19,908,487,421,Private
spiegelstrasse_2025-02-14_20,602,329,273,Private
spiegelstrasse_2025-02-14_21,381,193,188,Private
spiegelstrasse_2025-02-14_22,273,174,99,Private
spiegelstrasse_2025-02-14_23,135,85,50,Private
spiegelstrasse_2025-02-15_0,66,32,34,Private
spiegelstrasse_2025-02-15_1,46,23,23,Private
spiegelstrasse_2025-02-15_2,22,9,13,Private
spiegelstrasse_2025-02-15_3,15,7,8,Private
spiegelstrasse_2025-02-15_4,18,10,8,Private
spiegelstrasse_2025-02-15_5,35,20,15,Private
spiegelstrasse_2025-02-15_6,82,62,20,Private
spiegelstrasse_2025-02-15_7,100,72,28,Private
spiegelstrasse_2025-02-15_8,230,142,88,Private
spiegelstrasse_2025-02-15_9,528,335,193,Private
spiegelstrasse_2025-02-15_10,954,593,361,Private
spiegelstrasse_2025-02-15_11,1296,843,453,Private
spiegelstrasse_2025-02-15_12,1483,859,624,Private
spiegelstrasse_2025-02-15_13,1816,966,850,Private
spiegelstrasse_2025-02-15_14,1789,976,813,Private
spiegelstrasse_2025-02-15_15,1584,753,831,Private
spiegelstrasse_2025-02-15_16,1629,770,859,Private
spiegelstrasse_2025-02-15_17,1155,543,612,Private
spiegelstrasse_2025-02-15_18,923,421,502,Private
spiegelstrasse_2025-02-15_19,749,374,375,Private
spiegelstrasse_2025-02-15_20,424,214,210,Private
spiegelstrasse_2025-02-15_21,319,160,159,Private
spiegelstrasse_2025-02-15_22,234,166,68,Private
spiegelstrasse_2025-02-15_23,144,87,57,Private
spiegelstrasse_2025-02-16_0,78,21,57,Private
spiegelstrasse_2025-02-16_1,44,19,25,Private
spiegelstrasse_2025-02-16_2,27,14,13,Private
spiegelstrasse_2025-02-16_3,8,6,2,Private
spiegelstrasse_2025-02-16_4,10,5,5,Private
spiegelstrasse_2025-02-16_5,15,7,8,Private
spiegelstrasse_2025-02-16_6,21,13,8,Private
spiegelstrasse_2025-02-16_7,26,16,10,Private
spiegelstrasse_2025-02-16_8,77,45,32,Private
spiegelstrasse_2025-02-16_9,151,99,52,Private
spiegelstrasse_2025-02-16_10,194,124,70,Private
spiegelstrasse_2025-02-16_11,345,178,167,Private
spiegelstrasse_2025-02-16_12,382,188,194,Private
spiegelstrasse_2025-02-16_13,457,238,219,Private
spiegelstrasse_2025-02-16_14,564,339,225,Private
spiegelstrasse_2025-02-16_15,733,361,372,Private
spiegelstrasse_2025-02-16_16,649,323,326,Private
spiegelstrasse_2025-02-16_17,570,290,280,Private
spiegelstrasse_2025-02-16_18,367,210,157,Private
spiegelstrasse_2025-02-16_19,335,171,164,Private
spiegelstrasse_2025-02-16_20,222,122,100,Private
spiegelstrasse_2025-02-16_21,147,92,55,Private
spiegelstrasse_2025-02-16_22,90,50,40,Private
spiegelstrasse_2025-02-16_23,29,18,11,Private
