name,start,end,concert
Faschingszug ,2019-03-03 12:00:00,2019-03-03 23:59:59,0
Frühjahrsvolksfest,2019-03-30 14:00:00,2019-03-30 23:59:59,0
Frühjahrsvolksfest,2019-03-31 12:00:00,2019-03-31 22:30:00,0
Frühjahrsvolksfest,2019-04-01 14:00:00,2019-04-01 23:00:00,0
Frühjahrsvolksfest,2019-04-02 14:00:00,2019-04-02 23:00:00,0
Frühjahrsvolksfest,2019-04-03 14:00:00,2019-04-03 23:00:00,0
Frühjahrsvolksfest,2019-04-04 14:00:00,2019-04-04 23:00:00,0
Frühjahrsvolksfest,2019-04-05 14:00:00,2019-04-05 23:59:59,0
Frühjahrsvolksfest,2019-04-06 14:00:00,2019-04-06 23:59:59,0
Frühjahrsvolksfest,2019-04-07 12:00:00,2019-04-07 22:30:00,0
Frühjahrsvolksfest,2019-04-08 14:00:00,2019-04-08 23:00:00,0
Frühjahrsvolksfest,2019-04-09 14:00:00,2019-04-09 23:00:00,0
Frühjahrsvolksfest,2019-04-10 14:00:00,2019-04-10 23:00:00,0
Frühjahrsvolksfest,2019-04-11 14:00:00,2019-04-11 23:00:00,0
Frühjahrsvolksfest,2019-04-12 14:00:00,2019-04-12 23:59:59,0
Frühjahrsvolksfest,2019-04-13 14:00:00,2019-04-13 23:59:59,0
Residenzlauf,2019-04-14 10:30:00,2019-04-14 17:00:00,0
Frühjahrsvolksfest,2019-04-14 12:00:00,2019-04-14 22:30:00,0
Mozartfest,2019-05-24 00:00:00,2019-05-24 23:59:00,0
Mozartfest,2019-05-25 00:00:00,2019-05-25 23:59:00,0
Mozartfest,2019-05-26 00:00:00,2019-05-26 23:59:00,0
Mozartfest,2019-05-27 00:00:00,2019-05-27 23:59:00,0
Mozartfest,2019-05-28 00:00:00,2019-05-28 23:59:00,0
Mozartfest,2019-05-29 00:00:00,2019-05-29 23:59:00,0
Weindorf,2019-05-29 11:00:00,2019-05-29 23:59:59,0
Mozartfest,2019-05-30 00:00:00,2019-05-30 23:59:00,0
Afrika Festival,2019-05-30 11:00:00,2019-05-30 23:59:59,0
Weindorf,2019-05-30 11:00:00,2019-05-30 23:59:59,0
Mozartfest,2019-05-31 00:00:00,2019-05-31 23:59:00,0
Weindorf,2019-05-31 11:00:00,2019-05-31 23:59:59,0
Afrika Festival,2019-05-31 11:00:00,2019-05-31 23:59:59,0
Mozartfest,2019-06-01 00:00:00,2019-06-01 23:59:00,0
Afrika Festival,2019-06-01 11:00:00,2019-06-01 23:59:59,0
Weindorf,2019-06-01 11:00:00,2019-06-01 23:59:59,0
Mozartfest,2019-06-02 00:00:00,2019-06-02 23:59:00,0
Weindorf,2019-06-02 11:00:00,2019-06-02 23:59:59,0
Afrika Festival,2019-06-02 11:00:00,2019-06-02 23:59:59,0
Mozartfest,2019-06-03 00:00:00,2019-06-03 23:59:00,0
Weindorf,2019-06-03 11:00:00,2019-06-03 23:59:59,0
Mozartfest,2019-06-04 00:00:00,2019-06-04 23:59:00,0
Weindorf,2019-06-04 11:00:00,2019-06-04 23:59:59,0
Mozartfest,2019-06-05 00:00:00,2019-06-05 23:59:00,0
Weindorf,2019-06-05 11:00:00,2019-06-05 23:59:59,0
Mozartfest,2019-06-06 00:00:00,2019-06-06 23:59:00,0
Weindorf,2019-06-06 11:00:00,2019-06-06 23:59:59,0
Mozartfest,2019-06-07 00:00:00,2019-06-07 23:59:00,0
Weindorf,2019-06-07 11:00:00,2019-06-07 23:59:59,0
Mozartfest,2019-06-08 00:00:00,2019-06-08 23:59:00,0
Weindorf,2019-06-08 11:00:00,2019-06-08 23:59:59,0
Mozartfest,2019-06-09 00:00:00,2019-06-09 23:59:00,0
Weindorf,2019-06-09 11:00:00,2019-06-09 23:59:59,0
Mozartfest,2019-06-10 00:00:00,2019-06-10 23:59:00,0
Weindorf,2019-06-10 11:00:00,2019-06-10 23:59:59,0
Mozartfest,2019-06-11 00:00:00,2019-06-11 23:59:00,0
Mozartfest,2019-06-12 00:00:00,2019-06-12 23:59:00,0
Mozartfest,2019-06-13 00:00:00,2019-06-13 23:59:00,0
Mozartfest,2019-06-14 00:00:00,2019-06-14 23:59:00,0
Mozartfest,2019-06-15 00:00:00,2019-06-15 23:59:00,0
Mozartfest,2019-06-16 00:00:00,2019-06-16 23:59:00,0
Mozartfest,2019-06-17 00:00:00,2019-06-17 23:59:00,0
Mozartfest,2019-06-18 00:00:00,2019-06-18 23:59:00,0
Mozartfest,2019-06-19 00:00:00,2019-06-19 23:59:00,0
Mozartfest,2019-06-20 00:00:00,2019-06-20 23:59:00,0
Umsonst & Draußen,2019-06-20 16:30:00,2019-06-20 22:00:00,0
Mozartfest,2019-06-21 00:00:00,2019-06-21 23:59:00,0
Umsonst & Draußen,2019-06-21 16:30:00,2019-06-21 22:00:00,0
Mozartfest,2019-06-22 00:00:00,2019-06-22 23:59:00,0
Umsonst & Draußen,2019-06-22 12:30:00,2019-06-22 22:00:00,0
Mozartfest,2019-06-23 00:00:00,2019-06-23 23:59:00,0
Umsonst & Draußen,2019-06-23 10:30:00,2019-06-23 22:00:00,0
Hofgarten Weinfest,2019-06-28 16:00:00,2019-06-28 23:59:59,0
Hofgarten Weinfest,2019-06-29 16:00:00,2019-06-29 23:59:59,0
Hofgarten Weinfest,2019-06-30 16:00:00,2019-06-30 23:59:59,0
Hofgarten Weinfest,2019-07-01 16:00:00,2019-07-01 23:59:59,0
Hofgarten Weinfest,2019-07-02 16:00:00,2019-07-02 23:59:59,0
Hofgarten Weinfest,2019-07-03 16:00:00,2019-07-03 23:59:59,0
Hofgarten Weinfest,2019-07-04 16:00:00,2019-07-04 23:59:59,0
Kiliani,2019-07-05 14:00:00,2019-07-06 01:00:00,0
Hofgarten Weinfest,2019-07-05 16:00:00,2019-07-05 23:59:59,0
Kiliani,2019-07-06 14:00:00,2019-07-07 01:00:00,0
Hofgarten Weinfest,2019-07-06 16:00:00,2019-07-06 23:59:59,0
Kiliani,2019-07-07 12:00:00,2019-07-08 01:00:00,0
Hofgarten Weinfest,2019-07-07 16:00:00,2019-07-07 23:59:59,0
Kiliani,2019-07-08 14:00:00,2019-07-08 23:59:59,0
Kiliani,2019-07-09 14:00:00,2019-07-09 23:59:59,0
Kiliani,2019-07-10 14:00:00,2019-07-10 23:59:59,0
Wein am Stein,2019-07-10 16:30:00,2019-07-10 23:59:59,0
Kiliani,2019-07-11 14:00:00,2019-07-11 23:59:59,0
Wein am Stein,2019-07-11 16:30:00,2019-07-11 23:59:59,0
Kiliani,2019-07-12 14:00:00,2019-07-13 01:00:00,0
Wein am Stein,2019-07-12 16:30:00,2019-07-12 23:59:59,0
Kiliani,2019-07-13 14:00:00,2019-07-14 01:00:00,0
Wein am Stein,2019-07-13 15:30:00,2019-07-13 23:59:59,0
Kiliani,2019-07-14 12:00:00,2019-07-15 01:00:00,0
Wein am Stein,2019-07-14 15:30:00,2019-07-14 23:59:59,0
Kiliani,2019-07-15 14:00:00,2019-07-15 23:59:59,0
Wein am Stein,2019-07-15 16:30:00,2019-07-15 23:59:59,0
Kiliani,2019-07-16 14:00:00,2019-07-16 23:59:59,0
Wein am Stein,2019-07-16 16:30:00,2019-07-16 23:59:59,0
Kiliani,2019-07-17 14:00:00,2019-07-17 23:59:59,0
Wein am Stein,2019-07-17 16:30:00,2019-07-17 23:59:59,0
Kiliani,2019-07-18 14:00:00,2019-07-18 23:59:59,0
Wein am Stein,2019-07-18 16:30:00,2019-07-18 23:59:59,0
Hafensommer,2019-07-19 00:00:00,2019-07-19 23:59:00,0
Kiliani,2019-07-19 14:00:00,2019-07-20 01:00:00,0
Wein am Stein,2019-07-19 16:30:00,2019-07-19 23:59:59,0
Hafensommer,2019-07-20 00:00:00,2019-07-20 23:59:00,0
Kiliani,2019-07-20 14:00:00,2019-07-21 01:00:00,0
Wein am Stein,2019-07-20 15:30:00,2019-07-20 23:59:59,0
Hafensommer,2019-07-21 00:00:00,2019-07-21 23:59:00,0
Kiliani,2019-07-21 12:00:00,2019-07-22 01:00:00,0
Wein am Stein,2019-07-21 15:30:00,2019-07-21 23:59:59,0
Hafensommer,2019-07-22 00:00:00,2019-07-22 23:59:00,0
Wein am Stein,2019-07-22 16:30:00,2019-07-22 23:59:59,0
Hafensommer,2019-07-23 00:00:00,2019-07-23 23:59:00,0
Wein am Stein,2019-07-23 16:30:00,2019-07-23 23:59:59,0
Hafensommer,2019-07-24 00:00:00,2019-07-24 23:59:00,0
Hafensommer,2019-07-25 00:00:00,2019-07-25 23:59:00,0
Hafensommer,2019-07-26 00:00:00,2019-07-26 23:59:00,0
Hafensommer,2019-07-27 00:00:00,2019-07-27 23:59:00,0
Hafensommer,2019-07-28 00:00:00,2019-07-28 23:59:00,0
Hafensommer,2019-07-29 00:00:00,2019-07-29 23:59:00,0
Hafensommer,2019-07-30 00:00:00,2019-07-30 23:59:00,0
Hafensommer,2019-07-31 00:00:00,2019-07-31 23:59:00,0
Hafensommer,2019-08-01 00:00:00,2019-08-01 23:59:00,0
Hafensommer,2019-08-02 00:00:00,2019-08-02 23:59:00,0
Hafensommer,2019-08-03 00:00:00,2019-08-03 23:59:00,0
Hafensommer,2019-08-04 00:00:00,2019-08-04 23:59:00,0
Weinparade,2019-08-22 11:00:00,2019-08-22 23:00:00,0
Weinparade,2019-08-23 11:00:00,2019-08-23 23:30:00,0
Weinparade,2019-08-24 11:00:00,2019-08-24 23:30:00,0
Weinparade,2019-08-25 11:00:00,2019-08-25 23:00:00,0
Weinparade,2019-08-26 11:00:00,2019-08-26 23:00:00,0
Weinparade,2019-08-27 11:00:00,2019-08-27 23:00:00,0
Weinparade,2019-08-28 11:00:00,2019-08-28 23:00:00,0
Weinparade,2019-08-29 11:00:00,2019-08-29 23:00:00,0
Weinparade,2019-08-30 11:00:00,2019-08-30 23:30:00,0
Weinparade,2019-08-31 11:00:00,2019-08-31 23:30:00,0
Weinparade,2019-09-01 11:00:00,2019-09-01 23:00:00,0
Stramu,2019-09-06 15:00:00,2019-09-06 22:00:00,0
Stramu,2019-09-07 12:00:00,2019-09-07 22:00:00,0
Stramu,2019-09-08 12:00:00,2019-09-08 22:00:00,0
Stadtfest,2019-09-13 15:00:00,2019-09-13 23:00:00,0
Stadtfest,2019-09-14 10:00:00,2019-09-14 23:00:00,0
Mantelsonntag,2019-10-27 13:00:00,2019-10-27 18:00:00,0
Weihnachtsmarkt,2019-11-29 10:00:00,2019-11-29 20:30:00,0
Black Friday,2019-11-29 10:00:00,2019-11-29 20:00:00,0
Weihnachtsmarkt,2019-11-30 10:00:00,2019-11-30 20:30:00,0
Weihnachtsmarkt,2019-12-01 11:00:00,2019-12-01 20:30:00,0
Weihnachtsmarkt,2019-12-02 10:00:00,2019-12-02 20:30:00,0
Weihnachtsmarkt,2019-12-03 10:00:00,2019-12-03 20:30:00,0
Weihnachtsmarkt,2019-12-04 10:00:00,2019-12-04 20:30:00,0
Weihnachtsmarkt,2019-12-05 10:00:00,2019-12-05 20:30:00,0
Weihnachtsmarkt,2019-12-06 10:00:00,2019-12-06 20:30:00,0
Weihnachtsmarkt,2019-12-07 10:00:00,2019-12-07 20:30:00,0
Lichterglanz,2019-12-07 18:00:00,2019-12-07 23:00:00,0
Weihnachtsmarkt,2019-12-08 11:00:00,2019-12-08 20:30:00,0
Weihnachtsmarkt,2019-12-09 10:00:00,2019-12-09 20:30:00,0
Weihnachtsmarkt,2019-12-10 10:00:00,2019-12-10 20:30:00,0
Weihnachtsmarkt,2019-12-11 10:00:00,2019-12-11 20:30:00,0
Weihnachtsmarkt,2019-12-12 10:00:00,2019-12-12 20:30:00,0
Weihnachtsmarkt,2019-12-13 10:00:00,2019-12-13 20:30:00,0
Weihnachtsmarkt,2019-12-14 10:00:00,2019-12-14 20:30:00,0
Weihnachtsmarkt,2019-12-15 11:00:00,2019-12-15 20:30:00,0
Weihnachtsmarkt,2019-12-16 10:00:00,2019-12-16 20:30:00,0
Weihnachtsmarkt,2019-12-17 10:00:00,2019-12-17 20:30:00,0
Weihnachtsmarkt,2019-12-18 10:00:00,2019-12-18 20:30:00,0
Weihnachtsmarkt,2019-12-19 10:00:00,2019-12-19 20:30:00,0
Weihnachtsmarkt,2019-12-20 10:00:00,2019-12-20 20:30:00,0
Weihnachtsmarkt,2019-12-21 10:00:00,2019-12-21 20:30:00,0
Weihnachtsmarkt,2019-12-22 11:00:00,2019-12-22 20:30:00,0
Weihnachtsmarkt,2019-12-23 10:00:00,2019-12-23 20:30:00,0
Frühjahrsvolksfest,2022-03-26 14:00:00,2022-03-26 23:59:59,0
Frühjahrsvolksfest,2022-03-27 12:00:00,2022-03-27 22:30:00,0
Frühjahrsvolksfest,2022-03-28 14:00:00,2022-03-28 23:00:00,0
Frühjahrsvolksfest,2022-03-29 14:00:00,2022-03-29 23:00:00,0
Frühjahrsvolksfest,2022-03-30 14:00:00,2022-03-30 23:00:00,0
Frühjahrsvolksfest,2022-03-31 14:00:00,2022-03-31 23:00:00,0
Frühjahrsvolksfest,2022-04-01 14:00:00,2022-04-01 23:59:59,0
Frühjahrsvolksfest,2022-04-02 14:00:00,2022-04-02 23:59:59,0
Frühjahrsvolksfest,2022-04-03 12:00:00,2022-04-03 22:30:00,0
Frühjahrsvolksfest,2022-04-04 14:00:00,2022-04-04 23:00:00,0
Frühjahrsvolksfest,2022-04-05 14:00:00,2022-04-05 23:00:00,0
Frühjahrsvolksfest,2022-04-06 14:00:00,2022-04-06 23:00:00,0
Frühjahrsvolksfest,2022-04-07 14:00:00,2022-04-07 23:00:00,0
Frühjahrsvolksfest,2022-04-08 14:00:00,2022-04-08 23:59:59,0
Frühjahrsvolksfest,2022-04-09 14:00:00,2022-04-09 23:59:59,0
Frühjahrsvolksfest,2022-04-10 12:00:00,2022-04-10 22:30:00,0
Frühjahrsvolksfest,2022-04-11 14:00:00,2022-04-11 23:00:00,0
Frühjahrsvolksfest,2022-04-12 14:00:00,2022-04-12 23:00:00,0
Residenzlauf,2022-05-01 10:30:00,2022-05-01 17:00:00,0
Mozartfest,2022-05-20 00:00:00,2022-05-20 23:59:00,0
Mozartfest,2022-05-21 00:00:00,2022-05-21 23:59:00,0
Mozartfest,2022-05-22 00:00:00,2022-05-22 23:59:00,0
Mozartfest,2022-05-23 00:00:00,2022-05-23 23:59:00,0
Mozartfest,2022-05-24 00:00:00,2022-05-24 23:59:00,0
Mozartfest,2022-05-25 00:00:00,2022-05-25 23:59:00,0
Weindorf,2022-05-25 11:00:00,2022-05-25 23:59:59,0
Mozartfest,2022-05-26 00:00:00,2022-05-26 23:59:00,0
Afrika Festival,2022-05-26 11:00:00,2022-05-26 23:59:59,0
Weindorf,2022-05-26 11:00:00,2022-05-26 23:59:59,0
Mozartfest,2022-05-27 00:00:00,2022-05-27 23:59:00,0
Afrika Festival,2022-05-27 11:00:00,2022-05-27 23:59:59,0
Weindorf,2022-05-27 11:00:00,2022-05-27 23:59:59,0
Mozartfest,2022-05-28 00:00:00,2022-05-28 23:59:00,0
Afrika Festival,2022-05-28 11:00:00,2022-05-28 23:59:59,0
Weindorf,2022-05-28 11:00:00,2022-05-28 23:59:59,0
Mozartfest,2022-05-29 00:00:00,2022-05-29 23:59:00,0
Afrika Festival,2022-05-29 11:00:00,2022-05-29 23:59:59,0
Weindorf,2022-05-29 11:00:00,2022-05-29 23:59:59,0
Mozartfest,2022-05-30 00:00:00,2022-05-30 23:59:00,0
Weindorf,2022-05-30 11:00:00,2022-05-30 23:59:59,0
Mozartfest,2022-05-31 00:00:00,2022-05-31 23:59:00,0
Weindorf,2022-05-31 11:00:00,2022-05-31 23:59:59,0
Mozartfest,2022-06-01 00:00:00,2022-06-01 23:59:00,0
Weindorf,2022-06-01 11:00:00,2022-06-01 23:59:59,0
Mozartfest,2022-06-02 00:00:00,2022-06-02 23:59:00,0
Weindorf,2022-06-02 11:00:00,2022-06-02 23:59:59,0
Mozartfest,2022-06-03 00:00:00,2022-06-03 23:59:00,0
Weindorf,2022-06-03 11:00:00,2022-06-03 23:59:59,0
Mozartfest,2022-06-04 00:00:00,2022-06-04 23:59:00,0
Weindorf,2022-06-04 11:00:00,2022-06-04 23:59:59,0
Mozartfest,2022-06-05 00:00:00,2022-06-05 23:59:00,0
Weindorf,2022-06-05 11:00:00,2022-06-05 23:59:59,0
Mozartfest,2022-06-06 00:00:00,2022-06-06 23:59:00,0
Weindorf,2022-06-06 11:00:00,2022-06-06 23:59:59,0
Mozartfest,2022-06-07 00:00:00,2022-06-07 23:59:00,0
Mozartfest,2022-06-08 00:00:00,2022-06-08 23:59:00,0
Mozartfest,2022-06-09 00:00:00,2022-06-09 23:59:00,0
Mozartfest,2022-06-10 00:00:00,2022-06-10 23:59:00,0
Mozartfest,2022-06-11 00:00:00,2022-06-11 23:59:00,0
Mozartfest,2022-06-12 00:00:00,2022-06-12 23:59:00,0
Mozartfest,2022-06-13 00:00:00,2022-06-13 23:59:00,0
Mozartfest,2022-06-14 00:00:00,2022-06-14 23:59:00,0
Mozartfest,2022-06-15 00:00:00,2022-06-15 23:59:00,0
Mozartfest,2022-06-16 00:00:00,2022-06-16 23:59:00,0
Umsonst & Draußen,2022-06-16 16:30:00,2022-06-16 22:00:00,0
Mozartfest,2022-06-17 00:00:00,2022-06-17 23:59:00,0
Umsonst & Draußen,2022-06-17 16:30:00,2022-06-17 22:00:00,0
Mozartfest,2022-06-18 00:00:00,2022-06-18 23:59:00,0
Umsonst & Draußen,2022-06-18 12:30:00,2022-06-18 22:00:00,0
Mozartfest,2022-06-19 00:00:00,2022-06-19 23:59:00,0
Umsonst & Draußen,2022-06-19 10:30:00,2022-06-19 22:00:00,0
Kiliani,2022-07-01 14:00:00,2022-07-02 01:00:00,0
Hofgarten Weinfest,2022-07-01 16:00:00,2022-07-01 23:59:59,0
Kiliani,2022-07-02 14:00:00,2022-07-03 01:00:00,0
Hofgarten Weinfest,2022-07-02 16:00:00,2022-07-02 23:59:59,0
Kiliani,2022-07-03 12:00:00,2022-07-04 01:00:00,0
Hofgarten Weinfest,2022-07-03 16:00:00,2022-07-03 23:59:59,0
Kiliani,2022-07-04 14:00:00,2022-07-04 23:59:59,0
Hofgarten Weinfest,2022-07-04 16:00:00,2022-07-04 23:59:59,0
Kiliani,2022-07-05 14:00:00,2022-07-05 23:59:59,0
Hofgarten Weinfest,2022-07-05 16:00:00,2022-07-05 23:59:59,0
Kiliani,2022-07-06 14:00:00,2022-07-06 23:59:59,0
Hofgarten Weinfest,2022-07-06 16:00:00,2022-07-06 23:59:59,0
Kiliani,2022-07-07 14:00:00,2022-07-07 23:59:59,0
Hofgarten Weinfest,2022-07-07 16:00:00,2022-07-07 23:59:59,0
Kiliani,2022-07-08 14:00:00,2022-07-09 01:00:00,0
Hofgarten Weinfest,2022-07-08 16:00:00,2022-07-08 23:59:59,0
Kiliani,2022-07-09 14:00:00,2022-07-10 01:00:00,0
Hofgarten Weinfest,2022-07-09 16:00:00,2022-07-09 23:59:59,0
Kiliani,2022-07-10 12:00:00,2022-07-11 01:00:00,0
Hofgarten Weinfest,2022-07-10 16:00:00,2022-07-10 23:59:59,0
Kiliani,2022-07-11 14:00:00,2022-07-11 23:59:59,0
Kiliani,2022-07-12 14:00:00,2022-07-12 23:59:59,0
Kiliani,2022-07-13 14:00:00,2022-07-13 23:59:59,0
Wein am Stein,2022-07-13 16:30:00,2022-07-13 23:59:59,0
Kiliani,2022-07-14 14:00:00,2022-07-14 23:59:59,0
Wein am Stein,2022-07-14 16:30:00,2022-07-14 23:59:59,0
Kiliani,2022-07-15 14:00:00,2022-07-16 01:00:00,0
Wein am Stein,2022-07-15 16:30:00,2022-07-15 23:59:59,0
Kiliani,2022-07-16 14:00:00,2022-07-17 01:00:00,0
Wein am Stein,2022-07-16 15:30:00,2022-07-16 23:59:59,0
Kiliani,2022-07-17 12:00:00,2022-07-18 01:00:00,0
Wein am Stein,2022-07-17 15:30:00,2022-07-17 23:59:59,0
Wein am Stein,2022-07-18 16:30:00,2022-07-18 23:59:59,0
Wein am Stein,2022-07-19 16:30:00,2022-07-19 23:59:59,0
Wein am Stein,2022-07-20 16:30:00,2022-07-20 23:59:59,0
Wein am Stein,2022-07-21 16:30:00,2022-07-21 23:59:59,0
Hafensommer,2022-07-22 00:00:00,2022-07-22 23:59:00,0
Wein am Stein,2022-07-22 16:30:00,2022-07-22 23:59:59,0
Hafensommer,2022-07-23 00:00:00,2022-07-23 23:59:00,0
Wein am Stein,2022-07-23 15:30:00,2022-07-23 23:59:59,0
Konzert Sting,2022-07-23 17:30:00,2022-07-23 23:00:00,1
Hafensommer,2022-07-24 00:00:00,2022-07-24 23:59:00,0
Wein am Stein,2022-07-24 15:30:00,2022-07-24 23:59:59,0
Hafensommer,2022-07-25 00:00:00,2022-07-25 23:59:00,0
Wein am Stein,2022-07-25 16:30:00,2022-07-25 23:59:59,0
Hafensommer,2022-07-26 00:00:00,2022-07-26 23:59:00,0
Wein am Stein,2022-07-26 16:30:00,2022-07-26 23:59:59,0
Hafensommer,2022-07-27 00:00:00,2022-07-27 23:59:00,0
Hafensommer,2022-07-28 00:00:00,2022-07-28 23:59:00,0
Hafensommer,2022-07-29 00:00:00,2022-07-29 23:59:00,0
Hafensommer,2022-07-30 00:00:00,2022-07-30 23:59:00,0
Hafensommer,2022-07-31 00:00:00,2022-07-31 23:59:00,0
Hafensommer,2022-08-01 00:00:00,2022-08-01 23:59:00,0
Hafensommer,2022-08-02 00:00:00,2022-08-02 23:59:00,0
Hafensommer,2022-08-03 00:00:00,2022-08-03 23:59:00,0
Hafensommer,2022-08-04 00:00:00,2022-08-04 23:59:00,0
Hafensommer,2022-08-05 00:00:00,2022-08-05 23:59:00,0
Hafensommer,2022-08-06 00:00:00,2022-08-06 23:59:00,0
Hafensommer,2022-08-07 00:00:00,2022-08-07 23:59:00,0
Weinparade,2022-08-25 11:00:00,2022-08-25 23:00:00,0
Weinparade,2022-08-26 11:00:00,2022-08-26 23:30:00,0
Weinparade,2022-08-27 11:00:00,2022-08-27 23:30:00,0
Weinparade,2022-08-28 11:00:00,2022-08-28 23:00:00,0
Weinparade,2022-08-29 11:00:00,2022-08-29 23:00:00,0
Weinparade,2022-08-30 11:00:00,2022-08-30 23:00:00,0
Weinparade,2022-08-31 11:00:00,2022-08-31 23:00:00,0
Weinparade,2022-09-01 11:00:00,2022-09-01 23:00:00,0
Weinparade,2022-09-02 11:00:00,2022-09-02 23:30:00,0
Konzert Paul K,2022-09-02 17:00:00,2022-09-02 23:00:00,1
Weinparade,2022-09-03 11:00:00,2022-09-03 23:30:00,0
Weinparade,2022-09-04 11:00:00,2022-09-04 23:00:00,0
Stramu,2022-09-09 15:00:00,2022-09-09 22:00:00,0
Stramu,2022-09-10 12:00:00,2022-09-10 22:00:00,0
Stramu,2022-09-11 12:00:00,2022-09-11 22:00:00,0
Stadtfest,2022-09-17 15:00:00,2022-09-17 23:00:00,0
Stadtfest,2022-09-18 10:00:00,2022-09-18 23:00:00,0
Mantelsonntag,2022-10-27 13:00:00,2022-10-27 18:00:00,0
Black Friday,2022-11-25 10:00:00,2022-11-25 20:00:00,0
Weihnachtsmarkt,2022-11-25 10:00:00,2022-11-25 20:30:00,0
